               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.021279,            0.013596,           0.0016329,             0.74068,             0.75402,             0.76721,             0.38321,            0.045028,            0.013585,            0.040729,           0.0063794,           0.0063794,           0.0063794
                 130,            0.021174,            0.014071,           0.0027801,             0.80595,              0.7067,             0.77791,             0.39228,            0.044144,            0.013393,            0.024378,           0.0063511,           0.0063511,           0.0063511
                 131,            0.021666,            0.014309,           0.0025942,             0.75711,             0.75097,             0.76054,             0.37878,            0.042124,            0.013136,            0.023494,           0.0063229,           0.0063229,           0.0063229
                 132,              0.0214,            0.014138,           0.0023396,              0.8208,              0.7067,             0.77321,             0.39612,            0.042045,            0.013458,            0.025708,           0.0062946,           0.0062946,           0.0062946
                 133,             0.02114,            0.014061,           0.0026368,             0.83923,              0.7051,             0.78296,             0.40765,            0.041947,            0.013378,            0.026986,           0.0062663,           0.0062663,           0.0062663
                 134,            0.020974,            0.014238,           0.0021714,             0.74673,             0.76432,             0.77802,             0.41485,            0.041819,            0.013434,            0.027999,            0.006238,            0.006238,            0.006238
                 135,            0.022037,            0.013977,           0.0024198,             0.74021,             0.73679,             0.74279,             0.39061,            0.042406,            0.013329,            0.028828,           0.0062097,           0.0062097,           0.0062097
                 136,            0.020307,            0.013747,           0.0017527,             0.74098,             0.73454,             0.73589,             0.39087,            0.041184,            0.012682,            0.029368,           0.0061814,           0.0061814,           0.0061814
                 137,            0.020846,            0.014038,           0.0018669,             0.76308,             0.73208,             0.75536,             0.39529,             0.04362,            0.012889,            0.028972,           0.0061531,           0.0061531,           0.0061531
                 138,            0.021382,            0.012751,           0.0023136,             0.75041,             0.73242,             0.77231,             0.39838,            0.042594,            0.013203,            0.029211,           0.0061249,           0.0061249,           0.0061249
                 139,            0.020998,            0.014982,           0.0015735,             0.75585,             0.75056,             0.77226,               0.403,            0.044486,            0.013577,            0.027809,           0.0060966,           0.0060966,           0.0060966
                 140,            0.020904,            0.013993,            0.002486,             0.78665,             0.73989,             0.75528,               0.387,            0.044657,            0.013788,             0.02803,           0.0060683,           0.0060683,           0.0060683
                 141,            0.020333,              0.0131,           0.0020865,             0.76799,             0.75056,             0.76291,             0.40109,            0.045788,            0.013915,            0.029838,             0.00604,             0.00604,             0.00604
                 142,            0.020198,            0.013451,           0.0018634,             0.78824,             0.72496,             0.75739,             0.38812,            0.045486,            0.014149,             0.03004,           0.0060117,           0.0060117,           0.0060117
                 143,            0.020786,            0.013854,           0.0016997,             0.70887,             0.75279,             0.72361,             0.36228,            0.044009,            0.013956,            0.035481,           0.0059834,           0.0059834,           0.0059834
                 144,            0.021422,            0.014456,           0.0023647,             0.77431,             0.75796,             0.75904,             0.38404,             0.04215,            0.013927,            0.030429,           0.0059551,           0.0059551,           0.0059551
                 145,            0.020527,            0.013231,           0.0023434,             0.78834,             0.72164,             0.75362,             0.38334,            0.045022,            0.013924,            0.029329,           0.0059269,           0.0059269,           0.0059269
                 146,             0.02007,             0.01463,           0.0020362,             0.76219,             0.72004,             0.76853,              0.3957,            0.042569,            0.013659,            0.028557,           0.0058986,           0.0058986,           0.0058986
                 147,            0.019882,            0.013719,           0.0021974,               0.788,             0.75653,             0.77958,             0.39151,            0.042739,            0.013618,            0.028822,           0.0058703,           0.0058703,           0.0058703
                 148,            0.020002,            0.013895,           0.0018446,             0.76084,              0.7725,             0.77476,             0.39193,            0.044736,            0.014096,            0.025661,            0.005842,            0.005842,            0.005842
                 149,            0.020276,            0.014074,           0.0015044,             0.80485,             0.78826,             0.80129,             0.40408,            0.044515,             0.01415,            0.025671,           0.0058137,           0.0058137,           0.0058137
                 150,            0.019241,             0.01425,           0.0018556,             0.73741,             0.79235,             0.79921,             0.41682,             0.04609,            0.013496,            0.024074,           0.0057854,           0.0057854,           0.0057854
                 151,            0.019165,            0.013429,           0.0016629,             0.75725,             0.75514,             0.78202,             0.40074,            0.044031,            0.013304,            0.029301,           0.0057571,           0.0057571,           0.0057571
                 152,            0.019245,            0.012978,           0.0017753,             0.73175,              0.8025,               0.795,             0.40461,            0.044413,            0.013357,            0.024119,           0.0057289,           0.0057289,           0.0057289
                 153,            0.018607,            0.012571,            0.001697,             0.81375,             0.75782,             0.79725,             0.41297,            0.043362,            0.013208,             0.02634,           0.0057006,           0.0057006,           0.0057006
                 154,            0.019728,            0.012318,           0.0020933,             0.74796,             0.78546,             0.78997,             0.40368,            0.046563,            0.013489,            0.025089,           0.0056723,           0.0056723,           0.0056723
                 155,            0.019792,             0.01324,           0.0013181,             0.75886,             0.74709,             0.78825,             0.39796,              0.0458,            0.013921,            0.025041,            0.005644,            0.005644,            0.005644
                 156,            0.019293,            0.012581,           0.0014459,             0.76765,             0.71544,             0.75251,             0.38655,            0.045876,            0.013674,            0.027625,           0.0056157,           0.0056157,           0.0056157
